Name,player,CF% rel,FF% rel,TK,GV,E+/-
Jason Demers\\demerja01,Jason Demers,-0.5,-1.9,15,32,-3.7
Travis Dermott\\dermotr01,Travis Dermott,-2.3,-1.7,23,44,2.6
Nicolas Deslauriers\\deslani01,Nicolas Deslauriers,-4.9,-4.1,10,10,-5.2
Phillip Di Giuseppe\\digiuph01,Phillip Di Giuseppe,1.1,1.5,3,4,0.3
Thomas Di Pauli\\dipauth01,Thomas Di Pauli,-5.5,-5.2,0,0,-0.5
Jason Dickinson\\dickija01,Jason Dickinson,-4.6,-4.1,47,29,-4.2
Brenden Dillon\\dillobr01,Brenden Dillon,2.7,2.5,16,26,-2.7
Christian Djoos\\djoosch01,Christian Djoos,6.1,8.1,2,6,0.1
Noah Dobson\\dobsono01,Noah Dobson,4.8,4.6,8,24,3.8
Max Domi\\domima01,Max Domi,-1.9,-3.7,42,64,5.4
Ryan Donato\\donatry01,Ryan Donato,2,1.9,21,13,4
Joonas Donskoi\\donskjo01,Joonas Donskoi,-4.3,-5.2,28,20,-6.4
Drew Doughty\\doughdr01,Drew Doughty,-4.3,-5.3,15,82,-5.4
Nic Dowd\\dowdni01,Nic Dowd,1.8,3.1,22,7,4.6
Justin Dowling\\dowliju01,Justin Dowling,-0.8,0.5,15,9,0.2
Leon Draisaitl\\draisle01,Leon Draisaitl,0.6,-0.3,60,91,-1.4
Sheldon Dries\\driessh01,Sheldon Dries,-14.7,-16.4,0,1,-1.1
Jonathan Drouin\\drouijo01,Jonathan Drouin,-0.2,-1.4,12,11,2.8
Dillon Dube\\dubedi01,Dillon Dube,-4.1,-3.5,17,16,0.9
Pierre-Luc Dubois\\duboipi01,Pierre-Luc Dubois,3,2.3,27,46,6.1
Matt Duchene\\duchema01,Matt Duchene,5.3,4.1,31,36,4.6
Anthony Duclair\\duclaan01,Anthony Duclair,-0.9,-1.8,18,46,-2
Mathew Dumba\\dumbama01,Mathew Dumba,-0.8,-0.9,20,35,4.6
Gabriel Dumont\\dumonga01,Gabriel Dumont,5.9,13.1,1,0,0.5
